Donor,CAR,EffectorTargetRatio,MFI_FSC-A,MFI_SSC-A,MFI_CD5,MFI_CD39,MFI_CD27,MFI_CTLA-4(CD152),MFI_CD4,MFI_CCR5,MFI_CD49d,MFI_CD134,MFI_CD25,MFI_CD197,MFI_CD183,MFI_CD44,MFI_CD69,MFI_CCR4,MFI_CD11a,MFI_CD3,MFI_CD45RO,MFI_PD-1,MFI_CD28,MFI_CD278,MFI_TIM-3,MFI_CD7,MFI_CD137,MFI_CD45RA,MFI_CD45,MFI_CD95,MFI_LAG3,MFI_CD161,MFI_HLA-DR,MFI_CD2,MFI_CD8
A,33_BBz,0.2,415.4745775058275,257.26697261072263,598.0806381118881,394.0114364801865,293.34768356643355,393.961756993007,525.050407925408,531.9335664335664,471.57488344988343,218.24562937062936,573.861960955711,340.3857808857809,409.33187645687644,649.5603146853147,283.64270104895104,255.66164044289044,687.293342074592,569.1285693473194,645.5772872960373,319.04778554778557,497.249053030303,588.8444784382284,483.04530885780883,475.967803030303,282.9024621212121,376.03751456876455,479.7361596736597,701.6372377622378,694.1829836829837,251.1067162004662,643.9508304195804,498.3245920745921,484.4624125874126
A,33_BBz,0.5,400.14778193479424,225.66461785141635,588.925250057265,372.556692372299,304.3283958158357,369.56997785752463,496.7565473009086,487.3488585172177,451.5285179812171,232.36668702756356,576.2920897915553,328.0995266091471,397.2091318622585,619.6742765518821,260.87161181950063,242.51477437581124,671.6573261052149,573.2087500954417,651.8016721386578,292.93403069405207,501.27907154310145,570.9285714285714,481.4337634572803,512.7225700542109,266.0862411239215,334.7800641368252,476.10662747194016,709.7443307627701,665.6398030083225,243.64514774375812,626.5851721768344,472.1389249446438,509.0072917462014
A,33_BBz,1,367.5558136448102,192.0224648261216,566.2215954340323,362.29572604194317,315.26931245022564,365.4840058401911,460.88916910007964,465.87742235200426,437.8433766923281,236.94916379081496,540.8836275550836,318.3233342182108,382.00859437217946,580.2209981417574,262.9423281125564,264.3270507034776,644.7564374834086,570.0027873639501,634.1721529068224,285.55720732678526,483.44451818423147,536.6055548181577,435.6528072736926,514.545294664189,269.9469737191399,295.9716286169365,467.28636846296786,694.6635585346429,625.0060724714627,229.43031590124767,620.0682904167772,415.10598619591184,522.4463432439607
A,33_BBz,2,329.09688177422044,191.46690011672504,576.5473570118393,350.1702934800734,330.1183508420877,344.73299149574785,469.2448724362181,428.8083208270802,433.42408704352175,239.03710188427547,524.9432632983159,329.13961147240286,384.3269968317492,579.4309654827414,262.50466900116726,281.4899116224779,642.0603635150909,579.6896781724196,639.827663831916,316.0799983324996,501.92296148074036,536.7831415707853,441.5920043355011,519.694180423545,268.21123061530767,287.5668250792063,471.9413456728364,692.7457478739369,614.5242621310655,228.2551692512923,607.825996331499,416.9399699849925,505.3608887777222
A,Mock,0.2,285.03967642526965,120.071937596302,623.7562596302004,315.3818374422188,453.3755778120185,347.7483628659476,540.4926810477658,513.3189522342064,504.2343990755008,288.75963020030815,395.05161787365176,354.88164483821265,386.37962249614793,631.4797765793528,258.3806818181818,396.26906779661016,637.2709938366718,618.7546224961479,607.1130585516179,334.94096687211095,561.3708590138675,534.6433936825886,379.17671417565487,420.3817411402157,259.9843990755008,320.5629815100154,494.6750770416025,622.3811633281972,482.3307973805855,244.91881741140216,491.8680662557781,477.4312403697997,384.7893875192604
A,Mock,0.5,278.5425256280275,121.74394502647291,628.6105666328715,288.7707558859975,456.64571364199617,343.1315759828771,517.4704291990537,515.5313732116706,505.9334234538695,289.84499267770644,404.45713641996167,350.6056100033795,381.032781345049,635.9210318801397,236.60831361946603,377.64943111411515,644.9995493973189,617.4747099245241,616.4208629041343,321.36690323307425,567.2553790695055,521.2846682437761,372.30438211107355,418.9425481581615,248.57632082910894,304.84747099245243,499.3495550298524,639.07885546919,451.9541511771995,244.09372535766587,472.0769404077954,482.29660921482485,407.0628590740115
A,Mock,1,271.0235031240948,125.56246120743162,599.030992675963,281.0854470972814,443.81975421028676,363.7186659494352,485.28042371829355,565.4891380808541,501.4931518185956,304.4099391732528,395.3885463648777,340.48810361236394,363.38225679645797,599.5997848305541,247.70236272603137,361.7914925311375,615.262630860264,601.1378325816196,576.5852608929532,310.3194024910001,537.177142384243,483.00099308975047,351.285596060744,400.17809409525387,249.36847767617,271.6697149004841,482.4410146066951,617.7243348367608,425.7589274630695,236.65196342119418,500.7287623618985,472.40286340878055,405.95398684156083
A,Mock,2,262.52593135458653,128.61023573958715,595.5838768779773,272.5402955905704,454.0436057163796,374.93626481006476,471.9488945889825,573.3661903016978,503.0378160498351,302.42643214852814,414.0992549163308,356.0620007328692,379.2547697569317,594.2452913155001,252.36909734945647,349.82936362525953,618.1042384267741,607.4922438011481,577.2945645535606,314.4782459997557,546.306608037132,494.9276902406254,361.02516184194457,421.4509588371809,244.29065591791866,258.16225723708317,486.9573958715036,626.119017955295,442.258947111274,228.40156345425675,498.0137779406376,468.94791743007204,422.44751435202147
A,None,0.2,246.7047898338221,190.99120234604106,227.35581622678396,452.5171065493646,349.633431085044,609.0430107526881,478.0791788856305,771.3000977517106,478.95992179863146,281.7448680351906,107.36559139784946,283.68035190615836,350.92179863147607,215.3343108504399,302.3372434017595,328.9853372434018,219.73802541544478,588.0733137829912,162.56500488758553,254.70967741935485,271.83088954056694,383.39784946236557,184.59042033235582,349.188660801564,266.03616813294235,470.5689149560117,310.54740957966766,214.74780058651027,708.1143695014663,207.14467253176932,676.3010752688172,378.54349951124146,248.68035190615836
A,None,0.5,238.92830188679244,198.45911949685535,241.7308176100629,361.33962264150944,299.2754716981132,553.7987421383648,345.451572327044,726.7320754716981,493.8540880503145,379.7811320754717,184.26792452830188,277.0452830188679,310.977358490566,239.3622641509434,288.75974842767295,314.074213836478,245.9194968553459,541.725786163522,199.24276729559747,248.81132075471697,267.7849056603774,318.82893081761006,230.4176100628931,302.8641509433962,273.325786163522,351.25283018867924,261.2641509433962,345.1911949685535,541.6855345911949,244.2691823899371,657.7358490566038,320.9446540880503,249.02138364779873
